query_id,doc_id,rank,score,text
156493,2928707,0,109.77907,"Goldfish Only Grow to the Size of Their Enclosure. There is an element of truth to this, but it is not as innocent as it sounds and is related more to water quality than tank size. When properly cared for, goldfish will not stop growing. Most fishes are in fact what are known as indeterminate growers."
156493,8182162,1,109.76814,"Depending on his type and his environment, goldfish have the capacity to grow anywhere from around 6 to 15 inches within a very short period of time. If they are kept in tiny aquariums or little bowls, they will still grow, but much more slowly. Those conditions are somewhat cramped for the fish and that will show in ..."
156493,1960257,2,108.87568,"Goldfish Only Grow to the Size of Their Enclosure. There is an element of truth to this, but it is not as innocent as it sounds and is related more to water quality than tank size. When properly cared for, goldfish will not stop growing."
156493,8182159,3,107.93494,"'Goldfish usually grow with their environment so if they are in a large space and are fed enough, they do sometimes just keep growing. 'If you went and checked the lakes and ponds across the country you could probably find a goldfish about Bob's size, but having one in a tank like this is most unusual and I have not heard of one."
156493,8182160,4,107.91983,"The rate at which your goldfish grows will depend on several factors and the size of his tank does come into play here. If you keep your goldfish in a small tank and you limit his feeding, he will grow fairly slowly and may not grow to more than 3 or 4 inches before he succumbs to poor health and dies."
156493,8820526,5,107.55801,"Their size is limited in the tank, but when you release it into the wild, that doesn't exist anymore, Wilson told The Post. Like other species of carp, the domestic goldfish Carassius auratus will basically keep growing as long as water temperatures and food resources support it."
156493,2612493,6,107.416565,"In clean, uncrowded conditions in tanks or ponds, goldfish grow fast. They can grow to a few inches (1 to 4 inches) within the first year. It really depends on their genetics and living situation. It may take a year or two before they change color from brown to gold or whatever color their parents were."
156493,3288600,7,107.24935,"A goldfish will grow to the depth of the water it is kept in. If the tank is not large enough to allow the goldfish to grow, it's growth will be stunted and this can cause the fish to become unhealthy and die. The fancy goldfish do not get as large as the common/comet/shubunkin/feeder goldfish."
156493,2259182,8,106.89768,"Common goldfish, comet goldfish, and other single tail goldfish need ponds or huge tanks as they can grow up to a foot or more in length. Do not get single tails unless you have a 180 US gallon (681.4 liter) tank laying around or a pond into which you can transition them when they get too large. For decades goldfish were touted as being able to live in small bowls, and thus why they have a reputation of having short life spans."
156493,1960260,9,106.89032,"Report Abuse. Fish do not grow to the size of their tank, that is a wrong. Goldfish grow until they are at their mature size, but being in a small tank for them to grow can cause stunting. This is the idea that they grow to the size of their tank comes from."
156493,6775071,10,106.86372,"Goldfish grow much more slowly than some other fish. Many species are not able to breed until they are 1 year old, and most goldfish are not considered adults until they are about 2 or 3. Fish fry gradually change color over the first year of life, and most fish will be orange or gold by the time they are 1."
156493,8273019,11,106.68498,"The bigger the fishtank, the bigger the fish will grow.Not only does it matter how big your tank/pond is but it also depends greatly on what the fish is fed, the variety of the fish, and the fishes genetics. Many goldfish can grow over a foot long- here is a list of standard sizes to expect a goldfish to grow:"
156493,349638,12,106.68498,"The bigger the fishtank, the bigger the fish will grow.Not only does it matter how big your tank/pond is but it also depends greatly on what the fish is fed, the variety of the fish, and the fishes genetics. Many goldfish can grow over a foot long-here is a list of standard sizes to expect a goldfish to grow:"
156493,1960255,13,106.6624,"Rating Newest Oldest. Best Answer: Goldfish do not grow to the size of their tank, that is a myth. Goldfish grow until they are at their mature size, but being in a tank too small for them to grow properly can cause stunting. This is where the idea that they grow to the size of their tank comes from."
156493,7371077,14,106.64103,"Goldfish are very large compared to many tropical fish species. Most fancy goldfish varieties grow up to 6 or 7 inches long (15 or 18 centimeters), while common and comet goldfish can grow to a foot long (30 centimeters) and even more. Though there are exceptions, tropical fish tend to stay small."
156493,2717163,15,106.54312,"They vary in their fin configuration, coloration and in their body size, which is directly influenced by their environment. When they are kept as pets in small fish tanks and aquariums, goldfish tend to stay about 1-2 inches long and never grow larger than 6 inches (15 centimeters), according to the DEC. However, in the wild, goldfish often reach 12 to 14 inches (30 to 35 cm) in length."
156493,2259183,16,106.42994,"A large tank gives your goldfish plenty of room to grow to their full potential. In a small 5-gallon aquarium, your goldfish will still grow. But growth will become stunted, and your goldfish wonât be able to develop properly. In such an environment, goldfish usually donât last any more than a couple of years."
156493,6139386,17,106.41321,"A: The conditions goldfish are kept in plus their diet determine how large they will grow. I have seen goldfish grow ridiculously large in very small containers when their water was changed frequently. Goldfish will not grow if water conditions are poor. Fancy goldfish donât grow as large as Common goldfish. A good size would be around 5 inches body length for most fancy varieties, 8 inches for Comets and 12 inches for Common Goldfish. These sizes are usually only attained by pond grown fish."
156493,3288601,18,106.354576,"A goldfish will grow to the depth of the water it is kept in. If the tank is not large enough to allow the goldfish to grow, it's growth will be stunted and this can cause the fish to become unhealthy and die."
156493,4583221,19,106.31847,"This completely depends on the species of fish. Goldfish will live 20-30 years and grow to be a foot long, if you let them. Most die within a few years because people don't look after them well. Fish need bigger tanks as they grow; it is a common misconception that fish only grow to the size of their container."
156493,95521,20,106.19203,"Small tanks provide poorer water quality than large ones, and will stunt growth in goldfish, often preventing them from reaching their average size of between 8 and 12 inches. But give a goldfish good quality water and lots of space and youâll give him every chance of growing to a good size."
156493,8273017,21,106.10045,"pond goldfish like comets, shubunkins, and wakins can grow well over 12inches. fancier varieties like ranchus,lionhead,and orandas can grow over 10 inches. other fancy varieties like ryukins,black moors, fantails, etc. can grow over 6-7 inches. The largest goldfish recorded is over 16 inches."
156493,4542584,22,106.088905,"Koi and other goldfish can grow very large, sometimes reaching lengths of over 3 feet (0.9 m)! They're best housed in large ponds with a TON of filtration and weekly water changes. With the right size pond, filter and other equipment, caring for koi and goldfish can be lots of fun."
156493,8273011,23,106.0395,The best way to get goldfish to grow the fastest is you give them as much room as you can then you give them growth food from the store. You can find it at almost any store that sells fish food. This will ensure that it will grow fast and big. blackheart_21 Â· 7 years ago.
156493,4940228,24,106.00078,"The Common Goldfish is an omnivourus goldfish species.It is very docile and is often fed vegetable food.The Common Goldfish can grow up to be 40 inches long!The Common Goldfish is the longest living goldfish, and the hardiest also!The Common Goldfish can live up to be 45 years old!It's color is orange.The Common Goldfish has a slim, long body and a ..."
156493,3288603,25,105.924065,"When goldfish are in a tiny bowl, they still grow, but much more slowly. It's best to provide at least one gallon of water per full grown fish. This gives goldfish room to swim and explore their home. Plan the aquarium space according to how big the fish can become, not how big he is at the time of purchase."
156493,3288596,26,105.90166,"If the tank is not large enough to allow the goldfish to grow, it's growth will be stunted and this can cause the fish to become unhealthy and die. The fancy goldfish do not get as large as the common/comet/shubunkin/feeder goldfish. The more room you can give your goldfish, the faster it will grow."
156493,1277727,27,105.89411,"Common Goldfish can grow over 90 centimeters and take more than 2 years to max out. I've been told that they don't stop growing, but I don't know how true that is. Fancy Goldfish can grow to about 20 centimeters ant take about 2 years to max out I hope the Goldfish aren't Fancy, Koi can get very nasty."
